image,label
image/BraTS-PED-00108-000-t2f_0089.nii.gz,mask/BraTS-PED-00108-000-t2f_0089.nii.gz
image/BraTS-PED-00121-000-t2f_0065.nii.gz,mask/BraTS-PED-00121-000-t2f_0065.nii.gz
image/BraTS-PED-00138-000-t2f_0034.nii.gz,mask/BraTS-PED-00138-000-t2f_0034.nii.gz
image/BraTS-PED-00023-000-t2f_0080.nii.gz,mask/BraTS-PED-00023-000-t2f_0080.nii.gz
image/BraTS-PED-00042-000-t2f_0075.nii.gz,mask/BraTS-PED-00042-000-t2f_0075.nii.gz
image/BraTS-PED-00143-000-t2f_0074.nii.gz,mask/BraTS-PED-00143-000-t2f_0074.nii.gz
image/BraTS-PED-00142-000-t2f_0098.nii.gz,mask/BraTS-PED-00142-000-t2f_0098.nii.gz
image/BraTS-PED-00127-000-t2f_0036.nii.gz,mask/BraTS-PED-00127-000-t2f_0036.nii.gz
image/BraTS-PED-00057-000-t2f_0047.nii.gz,mask/BraTS-PED-00057-000-t2f_0047.nii.gz
image/BraTS-PED-00170-000-t2f_0072.nii.gz,mask/BraTS-PED-00170-000-t2f_0072.nii.gz
image/BraTS-PED-00109-000-t2f_0011.nii.gz,mask/BraTS-PED-00109-000-t2f_0011.nii.gz
image/BraTS-PED-00100-000-t2f_0082.nii.gz,mask/BraTS-PED-00100-000-t2f_0082.nii.gz
image/BraTS-PED-00021-000-t2f_0066.nii.gz,mask/BraTS-PED-00021-000-t2f_0066.nii.gz
image/BraTS-PED-00108-000-t2f_0093.nii.gz,mask/BraTS-PED-00108-000-t2f_0093.nii.gz
image/BraTS-PED-00040-000-t2f_0083.nii.gz,mask/BraTS-PED-00040-000-t2f_0083.nii.gz
image/BraTS-PED-00040-000-t2f_0047.nii.gz,mask/BraTS-PED-00040-000-t2f_0047.nii.gz
image/BraTS-PED-00086-000-t2f_0038.nii.gz,mask/BraTS-PED-00086-000-t2f_0038.nii.gz
image/BraTS-PED-00116-000-t2f_0083.nii.gz,mask/BraTS-PED-00116-000-t2f_0083.nii.gz
image/BraTS-PED-00138-000-t2f_0027.nii.gz,mask/BraTS-PED-00138-000-t2f_0027.nii.gz
image/BraTS-PED-00116-000-t2f_0084.nii.gz,mask/BraTS-PED-00116-000-t2f_0084.nii.gz
image/BraTS-PED-00139-000-t2f_0049.nii.gz,mask/BraTS-PED-00139-000-t2f_0049.nii.gz
image/BraTS-PED-00142-000-t2f_0060.nii.gz,mask/BraTS-PED-00142-000-t2f_0060.nii.gz
image/BraTS-PED-00125-000-t2f_0023.nii.gz,mask/BraTS-PED-00125-000-t2f_0023.nii.gz
image/BraTS-PED-00136-000-t2f_0040.nii.gz,mask/BraTS-PED-00136-000-t2f_0040.nii.gz
image/BraTS-PED-00116-000-t2f_0078.nii.gz,mask/BraTS-PED-00116-000-t2f_0078.nii.gz
image/BraTS-PED-00025-000-t2f_0069.nii.gz,mask/BraTS-PED-00025-000-t2f_0069.nii.gz
image/BraTS-PED-00096-000-t2f_0033.nii.gz,mask/BraTS-PED-00096-000-t2f_0033.nii.gz
image/BraTS-PED-00060-000-t2f_0036.nii.gz,mask/BraTS-PED-00060-000-t2f_0036.nii.gz
image/BraTS-PED-00106-000-t2f_0036.nii.gz,mask/BraTS-PED-00106-000-t2f_0036.nii.gz
image/BraTS-PED-00026-000-t2f_0097.nii.gz,mask/BraTS-PED-00026-000-t2f_0097.nii.gz
image/BraTS-PED-00046-000-t2f_0087.nii.gz,mask/BraTS-PED-00046-000-t2f_0087.nii.gz
image/BraTS-PED-00125-000-t2f_0033.nii.gz,mask/BraTS-PED-00125-000-t2f_0033.nii.gz
image/BraTS-PED-00062-000-t2f_0040.nii.gz,mask/BraTS-PED-00062-000-t2f_0040.nii.gz
image/BraTS-PED-00004-000-t2f_0048.nii.gz,mask/BraTS-PED-00004-000-t2f_0048.nii.gz
image/BraTS-PED-00044-000-t2f_0102.nii.gz,mask/BraTS-PED-00044-000-t2f_0102.nii.gz
image/BraTS-PED-00142-000-t2f_0091.nii.gz,mask/BraTS-PED-00142-000-t2f_0091.nii.gz
image/BraTS-PED-00117-000-t2f_0087.nii.gz,mask/BraTS-PED-00117-000-t2f_0087.nii.gz
image/BraTS-PED-00121-000-t2f_0070.nii.gz,mask/BraTS-PED-00121-000-t2f_0070.nii.gz
